,Date,predicted_load
163,2015-06-13,6017.296849405315
164,2015-06-14,5972.605939895655
165,2015-06-15,6626.023379760586
166,2015-06-16,6749.155830245734
167,2015-06-17,6806.319857109941
168,2015-06-18,6815.904818167001
169,2015-06-19,6810.053171422512
170,2015-06-20,6334.756886035368
171,2015-06-21,6289.882745126873
172,2015-06-22,6943.316634120829
173,2015-06-23,7066.698278337094
174,2015-06-24,7124.354580862924
175,2015-06-25,7134.661716680497
176,2015-06-26,7129.725394976547
177,2015-06-27,6655.477978581993
178,2015-06-28,6611.70523361059
179,2015-06-29,7266.192764777074
180,2015-06-30,7390.463540669258
181,2015-07-01,7448.7145810334205
182,2015-07-02,7459.18286584736
183,2015-07-03,7453.829767428466
184,2015-07-04,6978.442572657045
185,2015-07-05,6932.665738874422
186,2015-07-06,7584.151805627368
187,2015-07-07,7704.303233339826
188,2015-07-08,7757.213111898365
189,2015-07-09,7761.034677753025
190,2015-07-10,7747.668831184763
191,2015-07-11,7262.868126040868
192,2015-07-12,7206.269798427698
193,2015-07-13,7845.547699470257
194,2015-07-14,7952.154367966499
195,2015-07-15,7990.261173535157
196,2015-07-16,7978.126479793922
197,2015-07-17,7947.781053241231
198,2015-07-18,7445.1292462587235
199,2015-07-19,7369.9785974119
200,2015-07-20,7990.187809096282
201,2015-07-21,8077.40444895541
202,2015-07-22,8096.000428496096
203,2015-07-23,8064.435340130414
204,2015-07-24,8014.937014802346
205,2015-07-25,7493.597966058103
206,2015-07-26,7400.400497959781
207,2015-07-27,8003.360564079292
208,2015-07-28,8074.261840232922
209,2015-07-29,8077.588166422421
210,2015-07-30,8031.884523901871
211,2015-07-31,7969.43597442669
212,2015-08-01,7436.363270747636
213,2015-08-02,7332.647935970793
214,2015-08-03,7926.2768956277305
215,2015-08-04,7988.97809833808
216,2015-08-05,7985.155231018536
217,2015-08-06,7933.25162392487
218,2015-08-07,7865.432682889109
219,2015-08-08,7327.685451729295
220,2015-08-09,7219.847983198946
221,2015-08-10,7809.7584734135835
222,2015-08-11,7868.995460993683
223,2015-08-12,7861.817096380233
224,2015-08-13,7806.52926300051
225,2015-08-14,7735.172119161774
226,2015-08-15,7193.623187008473
227,2015-08-16,7081.629742774604
228,2015-08-17,7666.9603404960935
229,2015-08-18,7721.146702980389
230,2015-08-19,7708.423903682701
231,2015-08-20,7647.098777678491
232,2015-08-21,7569.235771942538
233,2015-08-22,7020.758744507299
234,2015-08-23,6901.481334011087
235,2015-08-24,7479.255835945132
236,2015-08-25,7525.711906980428
237,2015-08-26,7505.193125214858
238,2015-08-27,7436.121462205629
239,2015-08-28,7350.679004542089
240,2015-08-29,6794.905568045836
241,2015-08-30,6668.724961476707
242,2015-08-31,7240.089969152712
243,2015-09-01,7280.717500496377
244,2015-09-02,7255.022050693446
245,2015-09-03,7181.477630621783
246,2015-09-04,7092.297588942736
247,2015-09-05,6533.531034622646
248,2015-09-06,6405.088659897948
249,2015-09-07,6974.8880527293595
250,2015-09-08,7014.589942130262
251,2015-09-09,6988.533491634373
252,2015-09-10,6915.10074661635
253,2015-09-11,6826.39958376332
254,2015-09-12,6268.363776413441
255,2015-09-13,6140.78286397148
256,2015-09-14,6711.451788716153
257,2015-09-15,6751.911607427849
258,2015-09-16,6726.389251054761
259,2015-09-17,6653.166294230822
260,2015-09-18,6564.265941642559
261,2015-09-19,6005.556710551116
262,2015-09-20,5876.7853743928445
263,2015-09-21,6445.72902243877
264,2015-09-22,6483.937453086974
265,2015-09-23,6455.673805529971
266,2015-09-24,6379.283346850692
267,2015-09-25,6286.879602186949
268,2015-09-26,5724.446314148234
269,2015-09-27,5591.867829708075
270,2015-09-28,6157.077828585825
271,2015-09-29,6191.797694025143
272,2015-09-30,6160.472536165474
273,2015-10-01,6081.634909856832
274,2015-10-02,5987.58555511669
275,2015-10-03,5424.489798937905
276,2015-10-04,5292.402376670014
277,2015-10-05,5859.41075000317
278,2015-10-06,5897.368383555608
279,2015-10-07,5870.826144935463
280,2015-10-08,5798.392013519112
281,2015-10-09,5712.408554156737
282,2015-10-10,5159.046903080848
283,2015-10-11,5038.330110056158
284,2015-10-12,5618.27597403477
285,2015-10-13,5670.630867000874
286,2015-10-14,5659.8027146287395
287,2015-10-15,5604.223293461297
288,2015-10-16,5536.02924632538
289,2015-10-17,5001.160481045623
290,2015-10-18,4899.3886886013615
291,2015-10-19,5498.46598717426
292,2015-10-20,5569.865036553098
293,2015-10-21,5577.718625874005
294,2015-10-22,5540.18871793985
295,2015-10-23,5489.154169373583
296,2015-10-24,4970.315608313948
297,2015-10-25,4883.655520932491
298,2015-10-26,5496.315912369908
299,2015-10-27,5579.619673163107
300,2015-10-28,5597.5885750726575
301,2015-10-29,5568.315236393202
302,2015-10-30,5523.652693581102
303,2015-10-31,5009.320001405679
304,2015-11-01,4924.936389790661
305,2015-11-02,5538.1738167009535
306,2015-11-03,5620.499140463729
307,2015-11-04,5636.113843063276
308,2015-11-05,5603.321268290339
309,2015-11-06,5554.2106276175455
310,2015-11-07,5034.756341557866
311,2015-11-08,4944.845410034751
312,2015-11-09,5552.422831858494
313,2015-11-10,5629.226487843528
314,2015-11-11,5639.719615434027
315,2015-11-12,5602.451034863668
316,2015-11-13,5549.732570182857
317,2015-11-14,5027.732412489806
318,2015-11-15,4936.4972825232735
319,2015-11-16,5544.093555860225
320,2015-11-17,5622.338883899108
321,2015-11-18,5635.732529234304
322,2015-11-19,5602.814635830499
323,2015-11-20,5555.8439054437
324,2015-11-21,5040.892422767643
325,2015-11-22,4957.870448597276
326,2015-11-23,5574.671274445213
327,2015-11-24,5662.907571793546
328,2015-11-25,5686.84732727596
329,2015-11-26,5664.779432850808
330,2015-11-27,5628.698231344313
331,2015-11-28,5124.405573616786
332,2015-11-29,5051.543010474455
333,2015-11-30,5677.744011931533
334,2015-12-01,5774.3774471626
335,2015-12-02,5805.490222968684
336,2015-12-03,5789.178968086078
337,2015-12-04,5757.279898731771
338,2015-12-05,5255.475277860092
339,2015-12-06,5183.328972677146
340,2015-12-07,5808.440912816025
341,2015-12-08,5902.191623181569
342,2015-12-09,5928.684702330761
343,2015-12-10,5906.117139909091
344,2015-12-11,5866.466647525848
345,2015-12-12,5355.594486299002
346,2015-12-13,5273.276396004913
347,2015-12-14,5887.351555521096
348,2015-12-15,5969.46089906257
349,2015-12-16,5983.982828695621
350,2015-12-17,5949.396400527702
351,2015-12-18,5897.961352123105
352,2015-12-19,5375.813651385597
353,2015-12-20,5282.989367323928
354,2015-12-21,5887.566980951714
355,2015-12-22,5961.399637325012
356,2015-12-23,5969.045538857618
357,2015-12-24,5929.12669579788
358,2015-12-25,5874.005515070292
359,2015-12-26,5349.877993524681
360,2015-12-27,5256.796371800747
361,2015-12-28,5862.811391457183
362,2015-12-29,5939.705648937827
363,2015-12-30,5951.926207643212
364,2015-12-31,5917.946614994869
365,2016-01-01,5869.947708694673
366,2016-01-02,5353.9158560944725
367,2016-01-03,5269.6713391959975
368,2016-01-04,5885.0168668548395
369,2016-01-05,5971.477533858317
370,2016-01-06,5993.7392511527105
371,2016-01-07,5969.52038563386
372,2016-01-08,5930.7562593301645
373,2016-01-09,5423.204529260937
374,2016-01-10,5346.479221767331
375,2016-01-11,5968.2042120784445
376,2016-01-12,6059.757343168712
377,2016-01-13,6085.213061606721
378,2016-01-14,6062.71345723245
379,2016-01-15,6024.1568613545605
380,2016-01-16,5515.302454438591
381,2016-01-17,5435.803444386019
382,2016-01-18,6053.358690835965
383,2016-01-19,6139.454036695747
384,2016-01-20,6158.301316747164
385,2016-01-21,6128.205044424241
386,2016-01-22,6081.246064336796
387,2016-01-23,5563.380769016759
388,2016-01-24,5474.468598739125
389,2016-01-25,6082.417863276339
390,2016-01-26,6158.921311164197
391,2016-01-27,6168.389576899365
392,2016-01-28,6129.312659552542
393,2016-01-29,6073.938860169146
394,2016-01-30,5548.369899953953
395,2016-01-31,5452.5850419419
396,2016-02-01,6054.584336558677
397,2016-02-02,6126.122473760006
398,2016-02-03,6131.641403729245
399,2016-02-04,6089.631884869905
400,2016-02-05,6032.313365850488
401,2016-02-06,5505.7308780526355
402,2016-02-07,5409.781692262566
403,2016-02-08,6012.361770155265
404,2016-02-09,6085.103385539107
405,2016-02-10,6092.311954981543
406,2016-02-11,6052.332103513912
407,2016-02-12,5997.232232474828
408,2016-02-13,5472.906123707586
409,2016-02-14,5379.104193633307
410,2016-02-15,5983.584293361741
411,2016-02-16,6057.853305293658
412,2016-02-17,6066.107464680283
413,2016-02-18,6026.601337249106
414,2016-02-19,5971.334644440568
415,2016-02-20,5446.155416049789
416,2016-02-21,5350.79205177131
417,2016-02-22,5953.00417884424
418,2016-02-23,6024.323570234216
419,2016-02-24,6028.993088025698
420,2016-02-25,5985.333640163522
421,2016-02-26,5925.428417825989
422,2016-02-27,5395.222985208063
423,2016-02-28,5294.553908308981
424,2016-02-29,5891.295924783818
425,2016-03-01,5957.099040231104
426,2016-03-02,5956.323638817136
427,2016-03-03,5907.403718036243
428,2016-03-04,5842.5276312589285
429,2016-03-05,5307.735017347086
430,2016-03-06,5202.942699384082
431,2016-03-07,5796.089635073663
432,2016-03-08,5858.872367461095
433,2016-03-09,5855.679108073033
434,2016-03-10,5804.952586256378
435,2016-03-11,5738.871051575681
436,2016-03-12,5203.446091077541
437,2016-03-13,5098.5500060638515
438,2016-03-14,5692.062774967791
439,2016-03-15,5755.609978377505
440,2016-03-16,5753.499731465583
441,2016-03-17,5704.088659463849
442,2016-03-18,5639.46619668878
443,2016-03-19,5105.55575988724
444,2016-03-20,5002.145428182994
445,2016-03-21,5597.038047035891
